title,doctor_url,specialization,kraj,okres,pediater,kraj_id,okres_id
"MEDJUR s.r.o., Bratislava-Staré Mesto, (MEDJUR s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=92853," Pediatrická gastroenterológia, hepatológia a výživa",Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia detskej psychiatrie, Bratislava-Staré Mesto, (Univerzitná nemocnica Bratislava)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=77675, Detská psychiatria,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=76430, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
"ASSIDUO, Bratislava-Staré Mesto, (IBDcentrum s. r. o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=66716," Pediatrická gastroenterológia, hepatológia a výživa",Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia Hasičského záchranného zboru, Radlinského, Bratislava-Staré Mesto, (Ministerstvo vnútra Slovenskej republiky)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=62128, Urgentná medicína,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MUDr. Alexandra Drgoňová)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=61566, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Popracová, Bratislava-Staré Mesto, (MUDr. Anna Popracová, s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=61093, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MUDr. Marta Grmanová)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=61088, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3
"Ambulancia rýchlej zdravotnej pomoci, Stará Turá, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-rychlej-zdravotnej-pomoci-stara-tura-lse-life-star-emergency.html?page_id=134878, Rýchla zdravotná pomoc,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Ambulancia rýchlej zdravotnej pomoci „S“, Nové Mesto nad Váhom 2, (RZP, a.s.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-rychlej-zdravotnej-pomoci-s-nove-mesto-nad-vahom-2-rzp-a.s..html?page_id=132805, Rýchla zdravotná pomoc „S“,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Ambulancia rýchlej lekárskej pomoci, Nové Mesto nad Váhom 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-rychlej-lekarskej-pomoci-nove-mesto-nad-vahom-1-lse-life-star-emergency.html?page_id=132559, Rýchla lekárska pomoc,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Ambulancia pediatrickej oftalmológie, MUDr. Zuzana Cagalová, Nové Mesto nad Váhom, (BINOKO s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-pediatrickej-oftalmologie-mudr.-zuzana-cagalova-nove-mesto-nad-vahom-binoko.html?page_id=131601, Pediatrická oftalmológia,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Monika Ehsanová, Bošáca, (KVIETOK, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-monika-ehsanova-bosaca-kvietok.html?page_id=120977, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Monika Ehsanová, Nové Mesto nad Váhom, (KVIETOK, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-monika-ehsanova-nove-mesto-nad-vahom-kvietok.html?page_id=120976, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Milan Jamárik, Nové Mesto nad Váhom, (VES - MED, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-milan-jamarik-nove-mesto-nad-vahom-ves-med-s.-r.-o..html?page_id=73518, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Lívia Hendrichová, Hôrka nad Váhom, (MUDr. Lívia Hendrichová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-livia-hendrichova-horka-nad-vahom-mudr.-livia-hendrichova.html?page_id=73294, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Jana Drobná, Horná Streda, (MUDr. Jana Drobná)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-jana-drobna-horna-streda-mudr.-jana-drobna.html?page_id=73259, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Ambulancia detskej psychiatrie, MUDr. Silvia Lúčna, Nové Mesto nad Váhom, (NsP Nové Mesto nad Váhom n. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-detskej-psychiatrie-mudr.-silvia-lucna-nove-mesto-nad-vahom-nsp-nove-mesto-nad-vahom-n.-o..html?page_id=66221, Detská psychiatria,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Janovicová, Nové Mesto nad Váhom, (JAZ - PED s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-zuzana-janovicova-nove-mesto-nad-vahom-jaz-ped.html?page_id=64868, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Jana Drobná, Beckov, (MUDr. Jana Drobná)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-jana-drobna-beckov-mudr.-jana-drobna.html?page_id=64199, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Lívia Hendrichová, Podolie, (MUDr. Lívia Hendrichová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-livia-hendrichova-podolie-mudr.-livia-hendrichova.html?page_id=64198, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Ján Bľanda, Nové Mesto nad Váhom, (MUDr. Ján Bľanda)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-jan-blanda-nove-mesto-nad-vahom-mudr.-jan-blanda.html?page_id=63844, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Helena Kozempelová, Stará Turá, (MUDr. Helena Kozempelová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-helena-kozempelova-stara-tura-mudr.-helena-kozempelova.html?page_id=63816, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Oľga Krč - Turbová, Čachtice, (MUDr. Oľga Krč - Turbová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-olga-krc-turbova-cachtice-mudr.-olga-krc-turbova.html?page_id=63814, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Munková, Nové Mesto nad Váhom, (MUDr. Viera Munková s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-viera-munkova-nove-mesto-nad-vahom-mudr.-viera-munkova-s.-r.-o..html?page_id=63789, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Juraj Klička, Stará Turá, (PEDALERG, s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-juraj-klicka-stara-tura-pedalerg-s.-r.-o..html?page_id=63780, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Dušan Ulahel, Nové Mesto nad Váhom, (ULAMED s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-dusan-ulahel-nove-mesto-nad-vahom-ulamed.html?page_id=63744, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, MUDr. Oľga Bošanská, Pobedim, (MUDr. Oľga Bošanská)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-olga-bosanska-pobedim-mudr.-olga-bosanska.html?page_id=62370, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38
"Všeobecná ambulancia pre deti a dorast, Snina, (MEDIRAG, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-medirag-1.html?page_id=141294, Pediatria,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Belá nad Cirochou, (EMaPED s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-bela-nad-cirochou-emaped-s.-r.-o..html?page_id=135666, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Ambulancia rýchlej zdravotnej pomoci, Ulič, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-rychlej-zdravotnej-pomoci-ulic-lse-life-star-emergency.html?page_id=135181, Rýchla zdravotná pomoc,Prešovský,Snina,1,4,58
"Ambulancia rýchlej zdravotnej pomoci, Ubľa, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-rychlej-zdravotnej-pomoci-ubla-lse-life-star-emergency.html?page_id=134934, Rýchla zdravotná pomoc,Prešovský,Snina,1,4,58
"Ambulancia rýchlej zdravotnej pomoci, Snina 2, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-rychlej-zdravotnej-pomoci-snina-2-lse-life-star-emergency.html?page_id=134935, Rýchla zdravotná pomoc,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Snina, (EMaPED s. r. o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-emaped-s.-r.-o..html?page_id=134862, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Ambulancia rýchlej lekárskej pomoci, Snina 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-rychlej-lekarskej-pomoci-snina-1-lse-life-star-emergency.html?page_id=133082, Rýchla lekárska pomoc,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Stakčín, (HAJAPED, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-stakcin-hajaped.html?page_id=129727, Pediatria,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Ubľa, (HAJAPED, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-ubla-hajaped.html?page_id=129728, Pediatria,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Snina, (MUDr. Mária Čornaničová)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-mudr.-maria-cornanicova.html?page_id=122282, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Snina, (A.M. MEDICALIS, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-a.m.-medicalis.html?page_id=122243, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Ulič, (Nemocnica Snina, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-ulic-nemocnica-snina.html?page_id=100890, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Snina, (PEDIATRIA-ART s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-pediatria-art.html?page_id=99748, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, Snina, (MUDr. Mária Kostelníková)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/vseobecna-ambulancia-pre-deti-a-dorast-snina-mudr.-maria-kostelnikova.html?page_id=99165, Všeobecná starostlivosť o deti a dorast,Prešovský,Snina,1,4,58
"Ambulancia pediatrickej kardiológie, Snina, (MUDr. Mária Kostelníková)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-pediatrickej-kardiologie-snina-mudr.-maria-kostelnikova.html?page_id=99164, Pediatrická kardiológia,Prešovský,Snina,1,4,58
"Ambulancia pediatrickej gynekológie, Snina, (MEDOMEX, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-pediatrickej-gynekologie-snina-medomex.html?page_id=98630, Pediatrická gynekológia,Prešovský,Snina,1,4,58
"Ambulancia pediatrickej gynekológie, Ulič, (MEDOMEX, s.r.o.)",https://www.e-vuc.sk/psk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/snina/ambulancia-pediatrickej-gynekologie-ulic-medomex.html?page_id=98631, Pediatrická gynekológia,Prešovský,Snina,1,4,58
"Všeobecná ambulancia pre deti a dorast, MUDr. Izabela Kubová, Partizánske, (EmMa-Pediatria s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-izabela-kubova-partizanske-emma-pediatria-s.-r.-o..html?page_id=141498, Pediatria,Trenčiansky,Partizánske,1,5,41
"Ambulancia rýchlej zdravotnej pomoci, Partizánske, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-rychlej-zdravotnej-pomoci-partizanske-zachranna-zdravotna-sluzba-bratislava.html?page_id=132596, Rýchla zdravotná pomoc,Trenčiansky,Partizánske,1,5,41
"Pediatrická ambulancia, MUDr. Janka Hudecová, Partizánske, (Nemocnica na okraji mesta, n. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/pediatricka-ambulancia-mudr.-janka-hudecova-partizanske-nemocnica-na-okraji-mesta-n.-o..html?page_id=104254, Pediatria,Trenčiansky,Partizánske,1,5,41
"Ambulancia pediatrickej gastroenterológie, hepatológie a výživy, MUDr. Mária Kmotorková, Partizánske, (Nemocnica na okraji mesta, n. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/ambulancia-pediatrickej-gastroenterologie-hepatologie-a-vyzivy-mudr.-maria-kmotorkova-partizanske-nemocnica-na-okraji-mesta-n.-o..html?page_id=104241," Pediatrická gastroenterológia, hepatológia a výživa",Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Valéria Peniašková, Partizánske, (MUDr. Valéria Peniašková s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-valeria-peniaskova-partizanske-mudr.-valeria-peniaskova.html?page_id=104233, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Murčeková, Partizánske, (MUDr. Murčeková s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-maria-murcekova-partizanske-mudr.-murcekova.html?page_id=104232, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Vincze, Bošany, (MEDVIN s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-anna-vincze-bosany-medvin.html?page_id=104223, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Vincze, Klátova Nová Ves, (MEDVIN s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-anna-vincze-klatova-nova-ves-medvin.html?page_id=104224, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Kretíková, Partizánske, (MUDr. Eva Kretíková)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-eva-kretikova-partizanske-mudr.-eva-kretikova.html?page_id=104215, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Oľga Humajová, Partizánske, (MUDr. Oľga Humajová)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-olga-humajova-partizanske-mudr.-olga-humajova.html?page_id=104208, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Gondová, Partizánske, (Gondová s. r. o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-eva-gondova-partizanske-gondova-s.-r.-o..html?page_id=104196, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Marián Kocan, Chynorany, (A E S C U L A P K + K s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-marian-kocan-chynorany-a-e-s-c-u-l-a-p-k-k.html?page_id=104161, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, MUDr. Marián Kocan, Žabokreky nad Nitrou, (A E S C U L A P K + K s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/partizanske/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-marian-kocan-zabokreky-nad-nitrou-a-e-s-c-u-l-a-p-k-k.html?page_id=104160, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Partizánske,1,5,41
"Všeobecná ambulancia pre deti a dorast, Liesek, (DALPS, s. r. o.)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/vseobecna-ambulancia-pre-deti-a-dorast-liesek-dalps-s.-r.-o..html?page_id=143561, Pediatria,Žilinský,Tvrdošín,1,7,69
"Ambulancia rýchlej zdravotnej pomoci, Zuberec, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-rychlej-zdravotnej-pomoci-zuberec-zachranna-zdravotna-sluzba-bratislava.html?page_id=134926, Rýchla zdravotná pomoc,Žilinský,Tvrdošín,1,7,69
"Ambulancia rýchlej zdravotnej pomoci, Nižná nad Oravou, (Hornooravská nemocnica s poliklinikou Trstená)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-rychlej-zdravotnej-pomoci-nizna-nad-oravou-hornooravska-nemocnica-s-poliklinikou-trstena.html?page_id=134773, Rýchla zdravotná pomoc,Žilinský,Tvrdošín,1,7,69
"Ambulancia rýchlej lekárskej pomoci, Trstená, (Záchranná zdravotná služba Bratislava)",https://www.e-vuc.sk/zsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/tvrdosin/ambulancia-rychlej-lekarskej-pomoci-trstena-zachranna-zdravotna-sluzba-bratislava.html?page_id=132539, Rýchla lekárska pomoc,Žilinský,Tvrdošín,1,7,69
