title,doctor_url,specialization,kraj,okres,pediater,kraj_id,okres_id,doctor_id,info,open_hours,lat,lng
"MEDJUR s.r.o., Bratislava-Staré Mesto, (MEDJUR s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=92853," Pediatrická gastroenterológia, hepatológia a výživa",Bratislavsky Kraj,Bratislava 1,1,1,3,61-47552131-A0002,"{'Druh zariadenia': 'ambulancia pediatrickej gastroenterológie, hepatológie a výživy', 'Identifikátor': '61-47552131-A0002', 'Odborné zameranie': 'pediatrická gastroenterológia, hepatológia a výživa', 'Miesto prevádzkovania': '3. NP nebytového objektu, m.č. 2.18\nCintorínska\n3/b\n81108\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'MEDJUR s.r.o.\nVsetínska\n6/1008\n06401\nStará Ľubovňa\nIČO: 47552131'}","Poskytovateľ platnosť od: 31.03.2016
Pondelok: 9:00-11:00  ||13:00-14:00
Utorok: 9:00-12:00  ||13:00-15:30
Streda: 9:00-12:00  ||13:00-14:00
Štvrtok: 9:00-12:00  ||13:00-14:00
Piatok: 9:00-12:00  ||13:00-15:30
Sobota: neordinuje
Nedeľa: neordinuje",48.1461322,17.1159545
"Ambulancia detskej psychiatrie, Bratislava-Staré Mesto, (Univerzitná nemocnica Bratislava)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=77675, Detská psychiatria,Bratislavsky Kraj,Bratislava 1,1,1,3,51-31813861-A0188,"{'Druh zariadenia': 'ambulancia detskej psychiatrie', 'Identifikátor': '51-31813861-A0188', 'Odborné zameranie': 'detská psychiatria', 'Miesto prevádzkovania': 'Nemocnica Staré mesto\nMickiewiczova\n13\n81301\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'Dôvera, Union', 'Poskytovateľ': 'Univerzitná nemocnica Bratislava\nPažítková\n4\n82104\nBratislava - mestská časť Ružinov\nIČO: 31813861\nwww.unb.sk', 'Telefón': '+421 257290111'}",,48.1504965,17.1169481
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=76430, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-44441371-A0003,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-44441371-A0003', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': '4 NP polyfunkčného objektu\nHeydukova\n2158/14\n81108\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'Mediconet Slovakia, s. r. o.\nHeydukova\n12-14\n81108\nBratislava - mestská časť Staré Mesto\nIČO: 44441371', 'Telefón': '+421 232171211'}","Telefón platnosť od: 27.11.2020
Pondelok: 15:00-16:30
Utorok: neordinuje
Streda: neordinuje
Štvrtok: 15:00-16:30
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje",48.1478331,17.1138488
"ASSIDUO, Bratislava-Staré Mesto, (IBDcentrum s. r. o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=66716," Pediatrická gastroenterológia, hepatológia a výživa",Bratislavsky Kraj,Bratislava 1,1,1,3,61-47816821-A0007,"{'Druh zariadenia': 'ambulancia pediatrickej gastroenterológie, hepatológie a výživy', 'Identifikátor': '61-47816821-A0007', 'Odborné zameranie': 'pediatrická gastroenterológia, hepatológia a výživa', 'Miesto prevádzkovania': '3.NP, m.č. 2.11\nGastroenterologické centrum ASSIDUO a IBD centrum\nCintorínska\n3/b\n81108\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'IBDcentrum s. r. o.\nCintorínska\n3/b\n81108\nBratislava - mestská časť Staré Mesto\nIČO: 47816821\nwww.assiduo.sk', 'Telefón': '+421 2 381 08 511'}","Telefón platnosť od: 01.11.2017
Pondelok: 7:30-15:30
Utorok: 7:30-15:30
Streda: 7:30-15:30
Štvrtok: 7:30-15:30
Piatok: 7:30-15:30
Sobota: neordinuje
Nedeľa: neordinuje",48.1461322,17.1159545
"Ambulancia Hasičského záchranného zboru, Radlinského, Bratislava-Staré Mesto, (Ministerstvo vnútra Slovenskej republiky)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=62128, Urgentná medicína,Bratislavsky Kraj,Bratislava 1,1,1,3,51-00151866-A0006,"{'Druh zariadenia': 'špecializovaná ambulancia Hasičského záchranného zboru', 'Identifikátor': '51-00151866-A0006', 'Odborné zameranie': 'urgentná medicína', 'Miesto prevádzkovania': 'Radlinského\n6\n81106\nBratislava - mestská časť Staré Mesto', 'Poisťovne': '', 'Poskytovateľ': 'Ministerstvo vnútra Slovenskej republiky\nPribinova\n2\n81272\nBratislava - mestská časť Staré Mesto\nIČO: 00151866\nwww.minv.sk', 'Telefón': '+421 250941111'}","Telefón platnosť od: 04.07.2014
Pondelok: neordinuje
Utorok: neordinuje
Streda: neordinuje
Štvrtok: neordinuje
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje
Nedeľa: Poskytnutie zdravotnej starostlivosti je potrebné objednať na telefónnom čísle: +421 2 5094 1111.",48.1501689,17.1147956
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MUDr. Alexandra Drgoňová)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=61566, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-30791782-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-30791782-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': 'Kozia\n600/12\n81103\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'MUDr. Alexandra Drgoňová\nIČO: 30791782\nwww.detiadorast.sk', 'Telefón': '02/54415909', 'Email': 'detiadorast@gmail.com'}","Email platnosť od: 01.11.2017
Pondelok: 7:00-14:00  ||15:00-17:007,00-8,00 odbery len objednaní ,12,00- 14,00 prevencia LEN pre zdravé a objednané detii,15,00 - 17,00Novorodencké návštevy po dohovore
Utorok: 10:00-12:00  ||12:00-16:0010,00-12,00 prevencia LEN pre zdravé a objednané deti
Streda: 7:00-13:00  ||14:00-16:007,00- 8,00 prevencia +odbery len objednaní, 11,00-13,00 prevencia LEN pre zdravé a objenané deti, 14,00- 16 ,00 Novorodenecké návštevy len po dohovore
Štvrtok: 9:00-12:00  ||12:00-15:009,00 - 12,00 poradňa LEN pre zdravé a objednané deti
Piatok: 7:00-13:00  ||14:00-16:007,00-8,00 odbery LEN objednaní, 12,00 - 13,00 prevencia LEN pre pozvané a zdravé deti, 14,00 - 16,00 Novrodenecké návštevy len po dohovore
Sobota: neordinuje
Nedeľa: neordinuje
Nedeľa: Prevencia a poradňa je LEN pre objednané a zdravé deti a pacientov. 
Odbery krvi a biologického materiálu len po dohovore s lekárom a pre objednaných,

Kontaktujte nás mailom na adrese detiadorast@gmail.com",48.1464911,17.1031836
"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Popracová, Bratislava-Staré Mesto, (MUDr. Anna Popracová, s.r.o.)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=61093, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-36711110-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-36711110-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Lekári sestry': 'MUDr. Anna Popracová (lekár)\nMUDr. Mária Fedorova (lekár)\nBc.Lenka Karpat (sestra)', 'Miesto prevádzkovania': 'Kozia\n12\n81103\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'MUDr. Anna Popracová, s.r.o.\nKozia\n12\n81103\nBratislava - mestská časť Staré Mesto\nIČO: 36711110\nwww.anna-popracova.navstevalekara.sk', 'Telefón': '+421 254418048 , mobil : +421908 168 028 len v čase ordinácie', 'Email': 'detskelekarky@gmail.com'}","Email platnosť od: 01.01.2018
Email MUDr. Anna Popracová, s.r.o.
Pondelok: 7:00-14:00  ||15:00-17:00Od 7.00 do 8,00 odbery len objednaní, od 12,00- do 14,00 poradňa LEN prezdravýcha objednaných pacientov, od 15-17 návštevy novorodencov LEN po dohode
Utorok: 8:00-12:00  ||12:00-15:00od 8 ,00do 12 ,00 poradňa LEN pre pozvané azdravé deti
Streda: 7:00-14:00  ||14:30-16:307,00 do 8,00 odbery len objednaní, od 11,00 do 14,00. poradňa LEN pre zdravé a pozvané deti, od 14.30 do 16.30 návšteva novorodencov LEN po dohode
Štvrtok: 10:00-12:00  ||12:00-16:00od 10,00 do 12,00poradňa Len pre zdravé a objednané deti
Piatok: 7:00-13:00  ||14:00-16:007,00 do 8,00 odbery len objednaní, od 12,00 do 13,00hod LEN pre pozvané a zdravé deti, od 14 do 16 hod. návštevy novorodencov LEN po dohode
Sobota: neordinuje neordinuje
Nedeľa: neordinuje neordinuje
Nedeľa: Odbery krvi, výtery vždy LEN po dohode, pri plánovaných operáciach treba priniesťdokumentáciu k predoperačnému vyšetreniu, aby satoto mohlo naplánovať ! 
Do poradnedojčiat treba doniesť so sebou 2 látkové plienky,
event.podložku pod dieťatko. termín je plánovaný tak, že dieťa bude v danú dobu už vyzlečené a nachystané.",48.1464885,17.1032038
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MUDr. Marta Grmanová)",https://www.e-vuc.sk/buxus/generate_page.php?page_id=61088, Všeobecná starostlivosť o deti a dorast,Bratislavsky Kraj,Bratislava 1,1,1,3,61-31758878-A0001,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '61-31758878-A0001', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Miesto prevádzkovania': 'Špitálska\n2201/47\n81108\nBratislava - mestská časť Staré Mesto', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'MUDr. Marta Grmanová\nIČO: 31758878', 'Telefón': '+421 252924458'}","Telefón platnosť od: 08.03.2018
Pondelok: 8:00-15:0012.30-15.00 - prevencia
Utorok: 8:00-16:0012.30-16.00 - prevencia
Streda: 12:00-18:0012.00-14.00 - prevencia
Štvrtok: 8:00-15:0008.00-11.00 - prevencia
Piatok: 8:00-15:0012.30-15.00 - prevencia
Sobota: neordinuje
Nedeľa: neordinuje",48.1486621,17.1164705
"Ambulancia rýchlej zdravotnej pomoci, Stará Turá, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-rychlej-zdravotnej-pomoci-stara-tura-lse-life-star-emergency.html?page_id=134878, Rýchla zdravotná pomoc,Trenčiansky,Nové Mesto nad Váhom,1,5,38,72-35877618-A0262,"{'Druh zariadenia': 'ambulancia rýchlej zdravotnej pomoci', 'Identifikátor': '72-35877618-A0262', 'Odborné zameranie': 'rýchla zdravotná pomoc', 'Miesto prevádzkovania': '0\nStará Turá', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'LSE - Life Star Emergency, s.r.o.\nLimbová\n449/1\n90091\nLimbach\nIČO: 35877618\nwww.lse.sk'}",,48.7773850,17.6956820
"Ambulancia rýchlej zdravotnej pomoci „S“, Nové Mesto nad Váhom 2, (RZP, a.s.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-rychlej-zdravotnej-pomoci-s-nove-mesto-nad-vahom-2-rzp-a.s..html?page_id=132805, Rýchla zdravotná pomoc „S“,Trenčiansky,Nové Mesto nad Váhom,1,5,38,72-36331023-A0112,"{'Druh zariadenia': 'ambulancia rýchlej zdravotnej pomoci „S“', 'Identifikátor': '72-36331023-A0112', 'Odborné zameranie': 'rýchla zdravotná pomoc „S“', 'Miesto prevádzkovania': '2\nNové Mesto nad Váhom', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'RZP, a.s.\nLegionárska\n7158/5\n91101\nTrenčín\nIČO: 36331023\nwww.rzp.sk'}",,48.7568395,17.8253958
"Ambulancia rýchlej lekárskej pomoci, Nové Mesto nad Váhom 1, (LSE - Life Star Emergency, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-rychlej-lekarskej-pomoci-nove-mesto-nad-vahom-1-lse-life-star-emergency.html?page_id=132559, Rýchla lekárska pomoc,Trenčiansky,Nové Mesto nad Váhom,1,5,38,72-35877618-A0026,"{'Druh zariadenia': 'ambulancia rýchlej lekárskej pomoci', 'Identifikátor': '72-35877618-A0026', 'Odborné zameranie': 'rýchla lekárska pomoc', 'Miesto prevádzkovania': '1\nNové Mesto nad Váhom', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'LSE - Life Star Emergency, s.r.o.\nLimbová\n449/1\n90091\nLimbach\nIČO: 35877618\nwww.lse.sk'}",,48.7587784,17.8282812
"Ambulancia pediatrickej oftalmológie, MUDr. Zuzana Cagalová, Nové Mesto nad Váhom, (BINOKO s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/ambulancia-pediatrickej-oftalmologie-mudr.-zuzana-cagalova-nove-mesto-nad-vahom-binoko.html?page_id=131601, Pediatrická oftalmológia,Trenčiansky,Nové Mesto nad Váhom,1,5,38,63-52445739-A0002,"{'Druh zariadenia': 'ambulancia pediatrickej oftalmológie', 'Identifikátor': '63-52445739-A0002', 'Odborné zameranie': 'pediatrická oftalmológia', 'Lekári sestry': 'MUDr. Zuzana Cagalová (lekár)\nMgr. Renáta Štefánková (sestra)', 'Miesto prevádzkovania': 'Dibrovova\n2495/25\n91501\nNové Mesto nad Váhom', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'BINOKO s.r.o.\nTrenčianska\n17\n91501\nNové Mesto nad Váhom\nIČO: 52445739', 'Mobil': '00421 948 495 846'}","Mobil platnosť od: 01.04.2021
Mobil Oftalmologicka ambulancia a ambulancia pediatrickej oftalmológie
Pondelok: 7:00-15:00
Utorok: 7:00-15:00
Streda: 7:00-15:00
Štvrtok: 7:00-15:00
Piatok: 7:00-15:00
Sobota: neordinuje
Nedeľa: neordinuje",48.7533995,17.8337525
"Všeobecná ambulancia pre deti a dorast, MUDr. Monika Ehsanová, Bošáca, (KVIETOK, s.r.o.)",https://www.e-vuc.sk/tsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nove-mesto-nad-vahom/vseobecna-ambulancia-pre-deti-a-dorast-mudr.-monika-ehsanova-bosaca-kvietok.html?page_id=120977, Všeobecná starostlivosť o deti a dorast,Trenčiansky,Nové Mesto nad Váhom,1,5,38,63-50547453-A0002,"{'Druh zariadenia': 'všeobecná ambulancia pre deti a dorast', 'Identifikátor': '63-50547453-A0002', 'Odborné zameranie': 'všeobecná starostlivosť o deti a dorast', 'Lekári sestry': 'MUDr. Monika Ehsanová (lekár)\nMonika Barboríková (sestra)', 'Miesto prevádzkovania': 'Bošáca\n257\n91307\nBošáca', 'Poisťovne': 'VšZP, Dôvera, Union', 'Poskytovateľ': 'KVIETOK, s.r.o.\nDibrovova\n2569/29\n91501\nNové Mesto nad Váhom\nIČO: 50547453', 'Telefón': '+421 907445008'}","Telefón platnosť od: 01.01.2017
Pondelok: 13:00-15:30
Utorok: neordinuje
Streda: neordinuje
Štvrtok: 7:30-15:30
Piatok: neordinuje
Sobota: neordinuje
Nedeľa: neordinuje",48.8287358,17.8380376
